flightDate,count
2022-08-03,550936
2022-08-04,530535
2022-08-05,535165
2022-08-06,451458
2022-08-07,488354
2022-08-08,561599
2022-08-09,624201
2022-08-10,595533
2022-08-11,566176
2022-08-12,552585
2022-08-13,471477
2022-08-14,482446
2022-08-15,549377
2022-08-16,600783
2022-08-17,594400
2022-08-18,540103
2022-08-19,541485
2022-08-20,498225
2022-08-21,488946
2022-08-22,581864
2022-08-23,666408
2022-08-24,658937
2022-08-25,624789
2022-08-26,623255
2022-08-27,597878
2022-08-28,559580
2022-08-29,654670
2022-08-30,729117
2022-08-31,667996
2022-09-01,611926
2022-09-02,580933
2022-09-03,529981
2022-09-04,569589
2022-09-05,522445
2022-09-06,613194
2022-09-07,695010
2022-09-08,671131
2022-09-09,629272
2022-09-10,589176
2022-09-11,519858
2022-09-12,608266
2022-09-13,690912
2022-09-14,636895
2022-09-15,562568
2022-09-16,555526
2022-09-17,546966
2022-09-18,458864
2022-09-19,560064
2022-09-20,655025
2022-09-21,612786
2022-09-22,551560
2022-09-23,548305
2022-09-24,535943
