flightDate,count
2022-06-09,391287
2022-06-10,384974
2022-06-11,330170
2022-06-12,341450
2022-06-13,397098
2022-06-14,422133
2022-06-15,418216
2022-06-16,432598
2022-06-17,423523
2022-06-18,364509
2022-06-19,376643
2022-06-20,418443
2022-06-21,435933
2022-06-22,440107
2022-06-23,432903
2022-06-24,421893
2022-06-25,367053
2022-06-26,385923
2022-06-27,431858
2022-06-28,440318
2022-06-29,430451
2022-06-30,402746
2022-07-01,394473
2022-07-02,340906
2022-07-03,382067
2022-07-04,425081
2022-07-05,401524
2022-07-06,422800
2022-07-07,420522
2022-07-08,424988
2022-07-09,356760
2022-07-10,379717
2022-07-11,439109
2022-07-12,462805
2022-07-13,438231
2022-07-14,437002
2022-07-15,427486
2022-07-16,381941
2022-07-17,410422
2022-07-18,453057
2022-07-19,487257
2022-07-20,483402
2022-07-21,460599
2022-07-22,456563
2022-07-23,403027
2022-07-24,435199
2022-07-25,479876
2022-07-26,518302
2022-07-27,497786
2022-07-28,493065
2022-07-29,488568
2022-07-30,429675
2022-07-31,460680
2022-08-01,524783
2022-08-02,565436
