flightDate,count
2022-09-25,447702
2022-09-26,534214
2022-09-27,612244
2022-09-28,578797
2022-09-29,539777
2022-09-30,516288
2022-10-01,502295
2022-10-02,449979
2022-10-03,553907
2022-10-04,632812
2022-10-05,575318
2022-10-06,478099
2022-10-07,430297
2022-10-08,427338
2022-10-09,348812
2022-10-10,349052
2022-10-11,383482
2022-10-12,375311
2022-10-13,350969
2022-10-14,347949
2022-10-15,341990
2022-10-16,279762
2022-10-17,345654
2022-10-18,387647
2022-10-19,349577
2022-10-20,326919
2022-10-21,322804
2022-10-22,302848
2022-10-23,224970
2022-10-24,271282
2022-10-25,300383
2022-10-26,283936
2022-10-27,261263
2022-10-28,228534
2022-10-29,214004
2022-10-30,182202
2022-10-31,215276
2022-11-01,245046
2022-11-02,242834
2022-11-03,216569
2022-11-04,203850
2022-11-05,198866
2022-11-06,169317
2022-11-07,191066
2022-11-08,192926
2022-11-09,163771
2022-11-10,133371
2022-11-11,101269
2022-11-12,80676
2022-11-13,56613
2022-11-14,65386
2022-11-15,73118
2022-11-16,62785
