Airline,avg(totalTravelDistance),avg(travelDurationSplit)
Sun Country Airlines,2230.2959598239477,724.5643821228348
Contour Airlines,1032.5833777304208,462.4501864677677
United,1670.2315787519499,447.5657184387111
Hawaiian Airlines,7252.0,924.062015503876
