Airline,Hour,avgSeats
Frontier Airlines,23,4
JetBlue Airways,05,7
JetBlue Airways,06,6
JetBlue Airways,07,6
JetBlue Airways,08,7
JetBlue Airways,09,6
JetBlue Airways,10,6
JetBlue Airways,11,6
JetBlue Airways,12,6
JetBlue Airways,13,6
JetBlue Airways,14,6
JetBlue Airways,16,6
JetBlue Airways,17,6
JetBlue Airways,18,6
JetBlue Airways,19,6
JetBlue Airways,20,6
JetBlue Airways,21,6
Spirit Airlines,05,0
Spirit Airlines,06,0
Spirit Airlines,08,0
Spirit Airlines,09,0
Spirit Airlines,10,0
Spirit Airlines,11,0
Spirit Airlines,12,0
