Airline,Hour,avgSeats
Delta,07,8
Delta,08,7
Delta,09,7
Delta,10,7
Delta,11,7
Delta,12,8
Delta,13,8
Delta,14,8
Delta,15,8
Delta,16,8
Delta,17,8
Delta,18,8
Delta,19,7
Delta,20,8
Delta,21,7
Delta,22,8
Delta,23,7
Frontier Airlines,05,4
Frontier Airlines,06,4
Frontier Airlines,19,4
Frontier Airlines,20,4
Frontier Airlines,21,4
Frontier Airlines,22,4
