Airline,Hour,avgSeats
Spirit Airlines,13,0
Spirit Airlines,14,0
Spirit Airlines,15,0
Spirit Airlines,16,0
Spirit Airlines,17,0
Spirit Airlines,18,0
Spirit Airlines,19,0
Spirit Airlines,21,0
Spirit Airlines,22,0
Spirit Airlines,23,0
United,05,6
United,06,6
United,07,8
United,08,9
United,09,6
United,10,6
United,11,7
United,12,5
United,13,4
United,14,6
United,15,6
United,16,6
United,17,6
United,18,5
United,19,6
