legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
94af0671f4f2d52a57f993a8cd5e17d5,2022-07-30,2022-08-09,PHL,OAK,QAA0OFEN,PT13H,0,False,False,False,510.70,577.10,2,2753,1660046700||1660073940||1660089000,2022-08-09T08:05:00.000-04:00||2022-08-09T13:39:00.000-06:00||2022-08-09T16:50:00.000-07:00,1660061220||1660082760||1660093500,2022-08-09T10:07:00.000-06:00||2022-08-09T15:06:00.000-07:00||2022-08-09T18:05:00.000-07:00,DEN||LAX||OAK,PHL||DEN||LAX,United||United||Delta,UA||UA||DL,Airbus A320||Boeing 737-900||Embraer 175 (Enhanced Winglets),14520||8820||4500,1567||848||338,coach||coach||coach
e5c920c6ad10df29f2ed4f64841fe2c2,2022-07-30,2022-08-12,ORD,CLT,Q7AZZNM3,PT11H46M,1,False,False,False,351.63,407.20,7,1265,1660345200||1660381200,2022-08-12T18:00:00.000-05:00||2022-08-13T05:00:00.000-04:00,1660352460||1660387560,2022-08-12T21:01:00.000-04:00||2022-08-13T06:46:00.000-04:00,EWR||CLT,ORD||EWR,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,7260||6360,720||545,coach||coach
4a1a55eecbab2dbfc34dea1b070e3d58,2022-07-30,2022-08-16,CLT,LAX,V7AWZNN1,PT4H52M,0,False,False,True,366.51,407.10,7,2076,1660691400,2022-08-16T19:10:00.000-04:00,1660708920,2022-08-16T21:02:00.000-07:00,ONT,CLT,American Airlines,AA,Boeing 737-800,17520,2076,coach
f611404917986605ea214ee8050ef970,2022-07-30,2022-08-18,SFO,LGA,QH4OAVMN,PT12H4M,0,False,False,False,440.93,502.10,7,3070,1660837200||1660858860||1660872060,2022-08-18T08:40:00.000-07:00||2022-08-18T16:41:00.000-05:00||2022-08-18T21:21:00.000-04:00,1660850280||1660867440||1660880640,2022-08-18T14:18:00.000-05:00||2022-08-18T20:04:00.000-04:00||2022-08-18T23:44:00.000-04:00,AUS||ATL||LGA,SFO||AUS||ATL,Alaska Airlines||Delta||Delta,AS||DL||DL,Airbus A320||Airbus A321||Airbus A321,13080||8580||8580,1497||811||762,coach||coach||coach
c508ef6295520b043be16e9ea3e3a659,2022-07-30,2022-08-22,DFW,CLT,G7AWZNN1,PT4H24M,0,False,False,False,268.84,312.60,7,939,1661202240||1661211840,2022-08-22T16:04:00.000-05:00||2022-08-22T18:44:00.000-05:00,1661207520||1661218080,2022-08-22T17:32:00.000-05:00||2022-08-22T21:28:00.000-04:00,MEM||CLT,DFW||MEM,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A321,5280||6240,427||512,coach||coach
89e99a073d369e321db08df533643b50,2022-07-30,2022-08-25,ATL,LAX,UA7NR,PT12H41M,1,False,False,False,26.00,133.58,0,,1661453100||1661482740,2022-08-25T14:45:00.000-04:00||2022-08-25T21:59:00.000-05:00,1661461260||1661498760,2022-08-25T16:01:00.000-05:00||2022-08-26T00:26:00.000-07:00,ORD||LAX,ATL||ORD,Spirit Airlines||Spirit Airlines,NK||NK,Airbus A319||AIRBUS INDUSTRIE A320 SHARKLETS,8160||16020,None||None,coach||coach
587403bd0b9cfa855a21da93eae4d16b,2022-07-30,2022-08-27,SFO,DFW,OH4OAVBN,PT3H40M,0,True,False,True,96.74,118.60,7,1468,1661617800,2022-08-27T09:30:00.000-07:00,1661631000,2022-08-27T15:10:00.000-05:00,DAL,SFO,Alaska Airlines,AS,Airbus A320,13200,1468,coach
46aad9fc769f10367ceee53432faa31f,2022-07-30,2022-08-30,OAK,LGA,VH4OASMN,PT10H1M,0,False,False,False,659.54,737.11,7,3076,1661881140||1661892000||1661907300,2022-08-30T10:39:00.000-07:00||2022-08-30T13:40:00.000-07:00||2022-08-30T19:55:00.000-05:00,1661888400||1661903880||1661917200,2022-08-30T12:40:00.000-07:00||2022-08-30T18:58:00.000-05:00||2022-08-30T23:40:00.000-04:00,SEA||MSP||LGA,OAK||SEA||MSP,Alaska Airlines||Alaska Airlines||Delta,AS||AS||DL,Embraer 175||Boeing 737-900||Airbus A321,7260||11880||9900,672||1395||1009,coach||coach||coach
347e0ce297703b6a56540d846f8f819b,2022-07-30,2022-09-02,LGA,BOS,QL2AUEY5,PT1H26M,0,False,False,True,78.14,98.60,7,185,1662142500,2022-09-02T14:15:00.000-04:00,1662147660,2022-09-02T15:41:00.000-04:00,BOS,LGA,American Airlines,AA,Embraer 190,5160,185,coach
d1ef5c28e0627b2422f53dde73b6c5d4,2022-07-30,2022-09-05,PHL,MIA,SUAIZNN1,PT2H52M,0,False,False,True,195.35,224.60,7,1016,1662400620,2022-09-05T13:57:00.000-04:00,1662410940,2022-09-05T16:49:00.000-04:00,MIA,PHL,American Airlines,AA,Airbus A321,10320,1016,coach
0e6fb46d5d5594935d7651aa6f4c51fd,2022-07-30,2022-09-08,LGA,SFO,MH7AUEL1,PT10H59M,0,False,False,False,235.36,276.61,7,2883,1662632100||1662647400,2022-09-08T06:15:00.000-04:00||2022-09-08T10:30:00.000-04:00,1662636060||1662671640,2022-09-08T07:21:00.000-04:00||2022-09-08T14:14:00.000-07:00,BOS||SFO,LGA||BOS,JetBlue Airways||JetBlue Airways,B6||B6,Embraer 190||Airbus A319-321,3960||24240,185||2698,coach||coach
2bb7600b67f1e9cbca2203e563756b42,2022-07-30,2022-09-11,LGA,SFO,TAVUA0BG,PT7H31M,0,True,False,False,142.33,176.61,9,2568,1662890400||1662899100,2022-09-11T06:00:00.000-04:00||2022-09-11T08:25:00.000-04:00,1662897120||1662917460,2022-09-11T07:52:00.000-04:00||2022-09-11T10:31:00.000-07:00,DTW||SFO,LGA||DTW,Delta||Delta,DL||DL,Airbus A319||Boeing 737-900,6720||18360,485||2083,coach||coach
559edf915d59c5e15bf4595ae2cc2dca,2022-07-30,2022-09-14,EWR,PHL,LRA2AHER,PT9H10M,0,False,False,False,137.68,177.21,5,1392,1663146060||1663171380,2022-09-14T05:01:00.000-04:00||2022-09-14T11:03:00.000-05:00,1663155000||1663179060,2022-09-14T06:30:00.000-05:00||2022-09-14T14:11:00.000-04:00,ORD||PHL,EWR||ORD,United||United,UA||UA,Boeing 737-800||Boeing 737-800,8940||7680,720||672,coach||coach
7af57a22a11ccf3b710c4832308df8e7,2022-07-30,2022-09-17,DTW,LAX,XAVQA0BQ,PT4H50M,0,True,False,True,264.19,298.60,9,1985,1663417800,2022-09-17T08:30:00.000-04:00,1663435200,2022-09-17T10:20:00.000-07:00,LAX,DTW,Delta,DL,Boeing 757-300,17400,1985,coach
955de573cc9a2567610dcf5a0c3e0e59,2022-07-30,2022-09-20,JFK,ORD,KAUQA0MQ,PT4H47M,0,False,False,False,444.65,501.60,9,815,1663709340||1663718100,2022-09-20T17:29:00.000-04:00||2022-09-20T19:55:00.000-04:00,1663715100||1663726560,2022-09-20T19:05:00.000-04:00||2022-09-20T21:16:00.000-05:00,DCA||ORD,JFK||DCA,Delta||United,DL||UA,Embraer 175||Embraer 175 (Enhanced Winglets),5760||8460,221||594,coach||coach
7cf57d7d6587eb096fafc91bc4ef9c72,2022-07-30,2022-09-23,EWR,DTW,WAA3PHEN,PT11H15M,0,False,False,False,286.51,341.70,2,1055,1663927200||1663937100||1663962600,2022-09-23T06:00:00.000-04:00||2022-09-23T08:45:00.000-04:00||2022-09-23T14:50:00.000-05:00,1663931580||1663944720||1663967700,2022-09-23T07:13:00.000-04:00||2022-09-23T09:52:00.000-05:00||2022-09-23T17:15:00.000-04:00,DCA||ORD||DTW,EWR||DCA||ORD,United||United||United,UA||UA||UA,||Airbus A320||Airbus A319,4380||7620||5100,221||594||240,coach||coach||coach
40ba3160b5b7dc823477b4b2962196f2,2022-07-30,2022-09-26,LAX,SFO,LAA7AHBN,PT1H28M,0,True,False,True,59.53,78.60,9,339,1664221200,2022-09-26T12:40:00.000-07:00,1664226480,2022-09-26T14:08:00.000-07:00,SFO,LAX,United,UA,Airbus A320,5280,339,coach
798754f800af81abcfe58d8a8bc70de6,2022-07-31,2022-08-01,SFO,JFK,G0AZZNN1,PT10H10M,0,False,False,False,322.79,370.60,4,3686,1659364200||1659390120,2022-08-01T07:30:00.000-07:00||2022-08-01T17:42:00.000-04:00,1659385020||1659400800,2022-08-01T16:17:00.000-04:00||2022-08-01T20:40:00.000-04:00,MIA||JFK,SFO||MIA,American Airlines||American Airlines,AA||AA,Boeing 737 MAX 8||Boeing 777-200,20820||10680,2582||1104,coach||coach
cd24cba9e726306af748246405d17da6,2022-07-31,2022-08-04,JFK,IAD,G3AJZNN1,PT10H7M,0,False,False,False,403.72,462.10,1,1417,1659627900||1659640500||1659659400,2022-08-04T11:45:00.000-04:00||2022-08-04T14:15:00.000-05:00||2022-08-04T20:30:00.000-04:00,1659636780||1659646080||1659664320,2022-08-04T13:13:00.000-05:00||2022-08-04T16:48:00.000-04:00||2022-08-04T21:52:00.000-04:00,BNA||CLT||IAD,JFK||BNA||CLT,American Airlines||American Airlines||American Airlines,AA||AA||AA,Embraer 175||Canadair Regional Jet 900||Boeing 737-800,8880||5580||4920,761||329||327,coach||coach||coach
44cfd46425bbc1897100e7c9e032418f,2022-07-31,2022-08-07,LGA,DTW,G7AJZNN1,PT4H,0,False,False,False,163.72,199.60,2,612,1659873600||1659881880,2022-08-07T08:00:00.000-04:00||2022-08-07T10:18:00.000-04:00,1659878520||1659888000,2022-08-07T09:22:00.000-04:00||2022-08-07T12:00:00.000-04:00,DCA||DTW,LGA||DCA,American Airlines||American Airlines,AA||AA,Airbus A319||Canadair Regional Jet 900,4920||6120,221||391,coach||coach
6f0b38ffcbabcf830c39265eb5124936,2022-07-31,2022-08-10,JFK,DEN,M0AHZNN1,PT7H17M,0,False,False,False,375.81,427.60,2,2030,1660134000||1660152900,2022-08-10T08:20:00.000-04:00||2022-08-10T12:35:00.000-05:00,1660147860||1660160220,2022-08-10T11:11:00.000-05:00||2022-08-10T13:37:00.000-06:00,DFW||DEN,JFK||DFW,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A321,13860||7320,1380||650,coach||coach
