startingAirport,destinationAirport,isNonStop,Avg_Price
MIA,PHL,false,297.69
MIA,PHL,true,194.95
MIA,SFO,true,432.68
MIA,SFO,false,453.89
OAK,ATL,false,539.01
OAK,ATL,true,723.6
OAK,BOS,false,643.71
OAK,CLT,false,649.21
OAK,CLT,true,145.88
OAK,DEN,false,413.65
OAK,DEN,true,103.43
OAK,DFW,true,723.6
OAK,DFW,false,419.43
OAK,DTW,false,572.35
OAK,DTW,true,460.92
OAK,EWR,true,171.54
OAK,EWR,false,555.22
OAK,IAD,false,614.38
OAK,JFK,false,565.24
OAK,LAX,false,360.16
OAK,LAX,true,107.78
OAK,LGA,false,655.67
OAK,MIA,false,664.29
OAK,ORD,false,496.41
OAK,ORD,true,202.51
OAK,PHL,false,630.11
OAK,PHL,true,175.84
OAK,SFO,false,438.47
ORD,ATL,true,219.76
ORD,ATL,false,227.75
ORD,BOS,true,217.18
ORD,BOS,false,189.58
ORD,CLT,false,283.15
ORD,CLT,true,257.82
ORD,DEN,false,334.58
ORD,DEN,true,243.42
ORD,DFW,true,239.51
ORD,DFW,false,289.31
ORD,DTW,true,199.98
ORD,DTW,false,279.7
ORD,EWR,true,199.89
ORD,EWR,false,241.4
ORD,IAD,false,308.62
ORD,IAD,true,234.33
ORD,JFK,true,209.8
ORD,JFK,false,466.99
ORD,LAX,true,283.69
ORD,LAX,false,340.16
ORD,LGA,false,166.02
ORD,LGA,true,177.3
ORD,MIA,false,239.52
ORD,MIA,true,221.34
ORD,OAK,true,190.84
ORD,OAK,false,473.6
ORD,PHL,false,283.14
ORD,PHL,true,207.93
ORD,SFO,true,386.3
ORD,SFO,false,380.01
PHL,ATL,true,210.13
PHL,ATL,false,247.12
PHL,BOS,true,132.07
PHL,BOS,false,298.67
PHL,CLT,false,277.92
PHL,CLT,true,257.95
PHL,DEN,false,379.23
PHL,DEN,true,321.38
PHL,DFW,true,306.77
PHL,DFW,false,320.46
PHL,DTW,false,310.03
PHL,DTW,true,272.1
PHL,EWR,false,401.97
PHL,EWR,true,264.46
PHL,IAD,false,357.61
PHL,JFK,false,359.16
PHL,LAX,false,404.72
PHL,LAX,true,423.96
PHL,LGA,false,318.33
PHL,MIA,true,187.06
PHL,MIA,false,268.0
PHL,OAK,true,176.67
PHL,OAK,false,639.38
PHL,ORD,false,274.96
PHL,ORD,true,207.32
PHL,SFO,false,494.23
PHL,SFO,true,495.81
SFO,ATL,false,468.42
SFO,ATL,true,460.22
SFO,BOS,true,444.64
SFO,BOS,false,443.5
SFO,CLT,false,516.42
SFO,CLT,true,564.64
SFO,DEN,true,232.92
SFO,DEN,false,351.15
SFO,DFW,false,338.14
SFO,DFW,true,305.89
SFO,DTW,false,532.29
SFO,DTW,true,517.63
SFO,EWR,true,422.33
SFO,EWR,false,450.19
SFO,IAD,false,486.88
SFO,IAD,true,492.26
SFO,JFK,false,428.08
SFO,JFK,true,421.28
SFO,LAX,true,152.17
SFO,LAX,false,283.28
SFO,LGA,false,493.79
SFO,MIA,true,442.35
SFO,MIA,false,477.69
SFO,OAK,false,379.4
