startingAirport,destinationAirport,isNonStop,Avg_Price
DEN,ORD,true,258.84
DEN,ORD,false,352.36
DEN,PHL,false,369.74
DEN,PHL,true,336.36
DEN,SFO,false,316.74
DEN,SFO,true,206.91
DFW,ATL,false,259.74
DFW,ATL,true,214.19
DFW,BOS,true,327.74
DFW,BOS,false,297.15
DFW,CLT,false,314.96
DFW,CLT,true,328.16
DFW,DEN,false,278.11
DFW,DEN,true,192.69
DFW,DTW,true,285.66
DFW,DTW,false,317.99
DFW,EWR,true,250.67
DFW,EWR,false,299.89
DFW,IAD,true,278.18
DFW,IAD,false,304.71
DFW,JFK,false,387.04
DFW,JFK,true,216.41
DFW,LAX,true,242.36
DFW,LAX,false,282.28
DFW,LGA,true,199.43
DFW,LGA,false,234.56
DFW,MIA,false,284.77
DFW,MIA,true,238.51
DFW,OAK,false,443.38
DFW,ORD,true,247.16
DFW,ORD,false,294.34
DFW,PHL,false,325.56
DFW,PHL,true,312.27
DFW,SFO,false,315.35
DFW,SFO,true,293.07
DTW,ATL,true,240.31
DTW,ATL,false,313.58
DTW,BOS,false,238.4
DTW,BOS,true,222.67
DTW,CLT,false,295.67
DTW,CLT,true,267.24
DTW,DEN,false,352.06
DTW,DEN,true,300.5
DTW,DFW,true,288.14
DTW,DFW,false,323.22
DTW,EWR,true,211.32
DTW,EWR,false,239.1
DTW,IAD,false,229.98
DTW,IAD,true,174.37
DTW,JFK,false,433.18
DTW,JFK,true,234.58
DTW,LAX,false,415.15
DTW,LAX,true,379.37
DTW,LGA,false,203.34
DTW,LGA,true,194.47
DTW,MIA,true,184.98
DTW,MIA,false,282.23
DTW,OAK,false,551.83
DTW,OAK,true,430.04
DTW,ORD,true,196.44
DTW,ORD,false,276.23
DTW,PHL,false,318.9
DTW,PHL,true,270.0
DTW,SFO,true,496.22
DTW,SFO,false,494.46
EWR,ATL,false,217.03
EWR,ATL,true,202.97
EWR,BOS,false,253.75
EWR,BOS,true,126.2
EWR,CLT,true,219.7
EWR,CLT,false,262.71
EWR,DEN,false,354.53
EWR,DEN,true,295.21
EWR,DFW,false,303.25
EWR,DFW,true,242.94
EWR,DTW,false,248.94
EWR,DTW,true,221.17
EWR,IAD,false,348.12
EWR,IAD,true,240.95
EWR,LAX,false,365.03
EWR,LAX,true,330.38
EWR,LGA,true,149.89
EWR,LGA,false,167.58
EWR,MIA,false,256.87
EWR,MIA,true,190.26
EWR,OAK,false,551.19
EWR,OAK,true,165.99
EWR,ORD,false,241.7
EWR,ORD,true,200.66
EWR,PHL,false,414.39
EWR,PHL,true,250.78
EWR,SFO,true,381.33
EWR,SFO,false,418.72
IAD,ATL,false,268.04
IAD,ATL,true,192.54
IAD,BOS,true,148.25
IAD,BOS,false,362.24
IAD,CLT,true,183.87
IAD,CLT,false,260.56
IAD,DEN,true,328.12
IAD,DEN,false,388.17
IAD,DFW,false,319.88
IAD,DFW,true,300.87
IAD,DTW,true,190.43
IAD,DTW,false,266.45
IAD,EWR,false,345.55
IAD,EWR,true,223.97
IAD,JFK,true,202.96
IAD,JFK,false,416.81
IAD,LAX,false,421.44
IAD,LAX,true,398.65
