startingAirport,destinationAirport,isNonStop,Avg_Price
IAD,LGA,false,429.58
IAD,LGA,true,177.08
IAD,MIA,true,225.55
IAD,MIA,false,305.85
IAD,OAK,false,655.21
IAD,OAK,true,723.6
IAD,ORD,false,318.73
IAD,ORD,true,223.26
IAD,PHL,true,723.6
IAD,PHL,false,353.19
IAD,SFO,true,469.13
IAD,SFO,false,487.67
JFK,ATL,true,207.97
JFK,ATL,false,352.68
JFK,BOS,true,158.55
JFK,BOS,false,438.86
JFK,CLT,false,325.2
JFK,CLT,true,224.79
JFK,DEN,false,538.72
JFK,DEN,true,244.16
JFK,DFW,false,470.41
JFK,DFW,true,221.75
JFK,DTW,true,236.05
JFK,DTW,false,375.84
JFK,IAD,true,187.06
JFK,IAD,false,429.29
JFK,LAX,true,426.22
JFK,LAX,false,391.82
JFK,MIA,true,162.73
JFK,MIA,false,482.72
JFK,OAK,false,561.58
JFK,ORD,true,205.3
JFK,ORD,false,476.74
JFK,PHL,false,408.7
JFK,SFO,false,390.85
JFK,SFO,true,411.09
LAX,ATL,false,393.78
LAX,ATL,true,431.58
LAX,BOS,true,482.08
LAX,BOS,false,403.74
LAX,CLT,false,448.49
LAX,CLT,true,457.3
LAX,DEN,true,192.3
LAX,DEN,false,286.29
LAX,DFW,false,283.62
LAX,DFW,true,252.79
LAX,DTW,true,407.66
LAX,DTW,false,442.05
LAX,EWR,true,359.76
LAX,EWR,false,398.71
LAX,IAD,false,444.14
LAX,IAD,true,423.81
LAX,JFK,false,424.51
LAX,JFK,true,431.85
LAX,LGA,false,399.37
LAX,LGA,true,303.25
LAX,MIA,true,323.22
LAX,MIA,false,395.01
LAX,OAK,true,128.39
LAX,OAK,false,351.07
LAX,ORD,true,306.27
LAX,ORD,false,354.69
LAX,PHL,true,439.48
LAX,PHL,false,434.94
LAX,SFO,true,154.87
LAX,SFO,false,284.04
LGA,ATL,true,198.97
LGA,ATL,false,195.58
LGA,BOS,true,111.15
LGA,BOS,false,209.41
LGA,CLT,false,204.66
LGA,CLT,true,209.0
LGA,DEN,false,283.3
LGA,DEN,true,249.35
LGA,DFW,true,203.53
LGA,DFW,false,232.68
LGA,DTW,true,205.73
LGA,DTW,false,220.7
LGA,IAD,true,175.21
LGA,IAD,false,430.55
LGA,LAX,true,239.61
LGA,LAX,false,380.3
LGA,MIA,true,164.19
LGA,MIA,false,251.2
LGA,OAK,false,657.53
LGA,ORD,false,165.96
LGA,ORD,true,175.94
LGA,PHL,false,330.58
LGA,PHL,true,95.14
LGA,SFO,false,473.03
MIA,ATL,false,316.75
MIA,ATL,true,185.59
MIA,BOS,false,226.46
MIA,BOS,true,209.65
MIA,CLT,false,303.88
MIA,CLT,true,323.02
MIA,DEN,true,237.73
MIA,DEN,false,365.79
MIA,DFW,true,247.86
MIA,DFW,false,286.79
MIA,DTW,true,200.73
MIA,DTW,false,293.74
MIA,EWR,true,198.81
MIA,EWR,false,327.1
MIA,IAD,true,308.13
MIA,IAD,false,327.13
MIA,JFK,true,170.54
MIA,JFK,false,517.6
MIA,LAX,true,288.21
MIA,LAX,false,356.69
MIA,LGA,true,170.84
MIA,LGA,false,266.06
MIA,OAK,false,636.74
MIA,ORD,true,227.8
MIA,ORD,false,257.1
