startingAirport,destinationAirport,min(totalFare)
MIA,DTW,35.59
MIA,OAK,66.58
MIA,EWR,30.69
MIA,ORD,30.69
MIA,ATL,23.97
MIA,SFO,69.58
MIA,JFK,48.6
MIA,BOS,26.59
MIA,LAX,58.58
MIA,CLT,38.58
MIA,IAD,88.61
MIA,DFW,35.59
MIA,DEN,31.59
MIA,PHL,25.59
MIA,LGA,30.69
OAK,CLT,54.58
OAK,PHL,52.58
OAK,BOS,134.78
OAK,MIA,66.58
OAK,DFW,33.58
OAK,EWR,57.58
OAK,JFK,148.6
OAK,DEN,33.58
OAK,ATL,52.58
OAK,LAX,19.59
OAK,SFO,101.6
OAK,IAD,167.6
OAK,LGA,83.68
OAK,ORD,63.58
OAK,DTW,72.58
ORD,OAK,52.58
ORD,BOS,53.6
ORD,CLT,65.58
ORD,DTW,65.6
ORD,DEN,46.6
ORD,PHL,33.58
ORD,MIA,30.69
ORD,IAD,88.6
ORD,ATL,19.59
ORD,DFW,19.59
ORD,LGA,55.88
ORD,JFK,75.6
ORD,EWR,63.6
ORD,SFO,83.98
ORD,LAX,42.58
PHL,ATL,19.59
PHL,IAD,116.11
PHL,LAX,67.58
PHL,EWR,96.6
PHL,SFO,83.97
PHL,DTW,43.58
PHL,DEN,56.49
PHL,OAK,44.58
PHL,JFK,101.6
PHL,CLT,23.97
PHL,MIA,25.59
PHL,ORD,56.58
PHL,DFW,33.97
PHL,BOS,23.97
PHL,LGA,98.6
