startingAirport,destinationAirport,min(totalFare)
DFW,ORD,19.59
DFW,DEN,38.58
DFW,IAD,118.6
DFW,CLT,41.58
DFW,MIA,35.59
DFW,JFK,63.6
DFW,ATL,19.59
DFW,EWR,43.6
DFW,LAX,41.59
DFW,SFO,61.99
DFW,LGA,42.79
DFW,BOS,78.6
DFW,DTW,33.58
DFW,PHL,33.58
DFW,OAK,36.58
DTW,PHL,43.59
DTW,DEN,43.59
DTW,OAK,81.58
DTW,MIA,35.59
DTW,EWR,40.58
DTW,ORD,65.6
DTW,SFO,75.99
DTW,CLT,81.58
DTW,IAD,58.6
DTW,ATL,19.59
DTW,JFK,58.6
DTW,BOS,54.58
DTW,LAX,52.58
DTW,DFW,33.58
DTW,LGA,35.59
EWR,LAX,49.58
EWR,DEN,55.58
EWR,LGA,44.6
EWR,ORD,57.58
EWR,DTW,33.58
EWR,CLT,34.58
EWR,IAD,70.6
EWR,SFO,96.6
EWR,ATL,19.59
EWR,BOS,38.61
EWR,DFW,43.6
EWR,MIA,26.59
EWR,PHL,44.6
EWR,OAK,49.58
