startingAirport,destinationAirport,min(totalFare)
ATL,LGA,31.97
ATL,ORD,19.59
ATL,CLT,96.6
ATL,DEN,53.99
ATL,OAK,52.58
ATL,SFO,64.6
ATL,JFK,53.6
ATL,PHL,19.59
ATL,MIA,23.97
ATL,DTW,19.59
ATL,BOS,55.78
ATL,LAX,50.58
ATL,EWR,19.59
ATL,IAD,78.6
ATL,DFW,19.59
BOS,JFK,43.6
BOS,DEN,83.97
BOS,ATL,55.78
BOS,DTW,54.58
BOS,CLT,41.58
BOS,OAK,129.78
BOS,EWR,38.61
BOS,LGA,43.6
BOS,DFW,57.58
BOS,IAD,44.6
BOS,ORD,47.6
BOS,SFO,112.6
BOS,PHL,23.97
BOS,MIA,26.59
BOS,LAX,77.58
CLT,OAK,72.08
CLT,MIA,37.08
CLT,DTW,53.08
CLT,IAD,64.1
CLT,EWR,33.08
CLT,DEN,72.48
CLT,ORD,50.08
CLT,ATL,62.59
CLT,BOS,40.08
CLT,PHL,22.47
CLT,JFK,98.11
CLT,DFW,32.08
CLT,LAX,45.58
CLT,LGA,49.09
CLT,SFO,74.49
DEN,CLT,57.58
DEN,SFO,43.98
DEN,DTW,43.59
DEN,LGA,51.48
DEN,JFK,88.6
DEN,LAX,33.58
DEN,ORD,68.6
DEN,PHL,54.58
DEN,ATL,53.99
DEN,EWR,68.58
DEN,MIA,31.59
DEN,DFW,33.58
DEN,IAD,98.6
DEN,BOS,83.97
DEN,OAK,33.58
