Month,Airline,count
05,Alaska Airlines,1
06,Alaska Airlines,2
07,Alaska Airlines,11
08,Alaska Airlines,17
09,Alaska Airlines,1
10,Alaska Airlines,2
04,American Airlines,1961
05,American Airlines,13640
06,American Airlines,17487
07,American Airlines,18779
08,American Airlines,28980
09,American Airlines,32011
10,American Airlines,20618
