Month,Airline,count
05,Spirit Airlines,4088
06,Spirit Airlines,3730
07,Spirit Airlines,4068
08,Spirit Airlines,2214
09,Spirit Airlines,3569
10,Spirit Airlines,2893
11,Spirit Airlines,849
04,United,1525
05,United,10980
06,United,18355
07,United,16994
08,United,18063
09,United,14879
10,United,11003
