Month,Airline,count
08,Frontier Airlines,385
09,Frontier Airlines,1020
10,Frontier Airlines,1621
11,Frontier Airlines,153
04,JetBlue Airways,153
05,JetBlue Airways,3513
06,JetBlue Airways,4457
07,JetBlue Airways,6500
08,JetBlue Airways,9938
09,JetBlue Airways,10521
10,JetBlue Airways,8310
11,JetBlue Airways,1734
04,Spirit Airlines,578
