Month,Airline,count
11,American Airlines,4053
04,Cape Air,1
04,Delta,1695
05,Delta,21023
06,Delta,29619
07,Delta,37024
08,Delta,52191
09,Delta,41705
10,Delta,21483
11,Delta,4585
04,Frontier Airlines,71
05,Frontier Airlines,430
06,Frontier Airlines,324
07,Frontier Airlines,197
