"bround(totalTravelDistance, -2)",avg(totalFare)
"",230.6957789375788
100,259.1754686634851
200,158.91384228202898
300,184.63923734292405
400,237.08879330985204
500,234.90631828330265
600,249.3998552779165
700,234.64050284362597
800,261.95484829548303
900,304.95711813518597
1000,300.6571908450837
1100,264.92863197869696
