"bround(totalTravelDistance, -2)",avg(totalFare)
2400,453.0339528153034
2500,434.67791470665895
2600,446.9134904937117
2700,460.2651211059724
2800,476.410458339079
2900,493.96851706452225
3000,549.5478490000322
3100,557.4796284519509
3200,560.0257154264802
3300,548.4166287741452
3400,517.2712967886621
3500,699.0457243561501
