"bround(totalTravelDistance, -2)",avg(totalFare)
1200,306.32342278783875
1300,297.25530813821024
1400,325.13209266777477
1500,308.54738104447614
1600,332.39759743084653
1700,361.2890783758347
1800,357.5137615219595
1900,380.1592136858526
2000,409.8687375754737
2100,423.5304540936675
2200,431.45178745643005
2300,434.06802144827407
