Airline,Hour,avgSeats
Delta,14,6
Delta,15,8
Delta,16,7
Delta,17,8
Delta,18,7
Delta,19,8
Delta,20,8
Delta,21,7
Delta,22,7
JetBlue Airways,05,7
JetBlue Airways,06,6
JetBlue Airways,07,6
JetBlue Airways,08,6
