Airline,Hour,avgSeats
Delta,15,7
Delta,16,8
Delta,17,7
Delta,18,6
Delta,19,8
Delta,20,7
JetBlue Airways,06,6
JetBlue Airways,07,6
JetBlue Airways,08,6
JetBlue Airways,09,6
JetBlue Airways,10,6
JetBlue Airways,11,6
JetBlue Airways,12,6
