Airline,Hour,avgSeats
JetBlue Airways,13,6
JetBlue Airways,14,6
JetBlue Airways,15,6
JetBlue Airways,16,6
JetBlue Airways,17,6
JetBlue Airways,18,6
JetBlue Airways,19,6
JetBlue Airways,20,6
JetBlue Airways,21,6
United,06,5
United,07,6
United,08,5
United,12,7
