Month,Airline,count
11,Delta,949
04,JetBlue Airways,1169
05,JetBlue Airways,11438
06,JetBlue Airways,17527
07,JetBlue Airways,20818
08,JetBlue Airways,24912
09,JetBlue Airways,23217
