startingAirport,destinationAirport,min(totalFare)
ORD,BOS,53.6
ORD,DTW,65.6
ORD,DEN,46.6
ORD,CLT,97.6
ORD,ATL,68.6
ORD,DFW,68.6
ORD,LGA,75.6
ORD,JFK,78.6
ORD,MIA,40.6
ORD,PHL,68.6
ORD,IAD,89.6
ORD,EWR,63.6
ORD,SFO,88.6
ORD,LAX,63.6
PHL,ATL,78.6
PHL,LAX,166.61
PHL,EWR,173.6
PHL,DTW,94.6
PHL,SFO,166.61
PHL,DEN,98.6
PHL,ORD,68.6
PHL,DFW,136.6
PHL,CLT,104.6
PHL,BOS,58.6
SFO,DFW,78.6
SFO,ORD,88.6
SFO,DEN,52.6
SFO,ATL,64.6
SFO,MIA,148.6
SFO,BOS,113.6
SFO,IAD,112.6
SFO,JFK,93.6
SFO,LAX,38.61
SFO,EWR,98.6
SFO,DTW,278.6
SFO,PHL,166.61
