startingAirport,destinationAirport,min(totalFare)
EWR,LAX,103.6
EWR,DEN,88.6
EWR,ORD,63.6
EWR,LGA,128.6
EWR,DTW,88.6
EWR,CLT,102.6
EWR,IAD,70.6
EWR,SFO,96.6
EWR,ATL,40.6
EWR,BOS,38.61
EWR,DFW,43.6
EWR,MIA,38.61
EWR,PHL,128.6
IAD,JFK,90.6
IAD,LAX,96.6
IAD,DTW,58.6
IAD,DEN,98.6
IAD,EWR,70.6
IAD,ATL,78.59
IAD,DFW,118.6
IAD,BOS,43.6
IAD,SFO,112.6
IAD,ORD,89.6
IAD,CLT,65.6
IAD,LGA,90.6
IAD,MIA,98.6
JFK,ORD,78.6
JFK,MIA,48.6
JFK,SFO,93.6
JFK,DEN,88.6
JFK,ATL,68.6
JFK,DFW,68.6
JFK,CLT,102.6
JFK,IAD,90.6
JFK,BOS,43.6
JFK,LAX,103.6
JFK,DTW,88.6
