startingAirport,destinationAirport,min(totalFare)
DEN,DTW,68.6
DEN,LGA,88.6
DEN,SFO,52.6
DEN,CLT,88.6
DEN,JFK,88.6
DEN,LAX,48.6
DEN,ATL,68.6
DEN,EWR,88.6
DEN,ORD,68.6
DEN,MIA,68.6
DEN,PHL,98.6
DEN,DFW,68.6
DEN,BOS,98.6
DEN,IAD,98.6
DFW,DEN,68.6
DFW,ORD,68.6
DFW,IAD,118.6
DFW,CLT,125.61
DFW,JFK,68.6
DFW,ATL,93.6
DFW,MIA,128.6
DFW,EWR,43.6
DFW,LAX,93.6
DFW,SFO,78.6
DFW,LGA,90.6
DFW,BOS,78.6
DFW,DTW,109.6
DFW,PHL,136.6
DTW,PHL,94.6
DTW,DEN,78.59
DTW,MIA,88.6
DTW,EWR,88.6
DTW,OAK,248.6
DTW,ORD,65.6
DTW,SFO,278.6
DTW,CLT,94.6
DTW,IAD,58.6
DTW,ATL,148.6
DTW,JFK,88.6
DTW,BOS,68.6
DTW,LAX,208.61
DTW,DFW,109.6
DTW,LGA,92.6
