Airline,Hour,avgSeats
Frontier Airlines,21,4
JetBlue Airways,05,6
JetBlue Airways,06,6
JetBlue Airways,07,6
JetBlue Airways,08,6
JetBlue Airways,09,6
JetBlue Airways,10,6
JetBlue Airways,11,6
JetBlue Airways,12,6
JetBlue Airways,13,6
JetBlue Airways,14,6
JetBlue Airways,15,6
JetBlue Airways,16,6
JetBlue Airways,17,6
JetBlue Airways,18,6
JetBlue Airways,19,7
JetBlue Airways,20,7
JetBlue Airways,21,7
JetBlue Airways,22,7
Spirit Airlines,05,0
Spirit Airlines,06,0
Spirit Airlines,07,0
Spirit Airlines,09,0
