Airline,Hour,avgSeats
Delta,05,7
Delta,06,8
Delta,07,8
Delta,08,8
Delta,09,8
Delta,10,8
Delta,11,8
Delta,12,8
Delta,13,8
Delta,14,8
Delta,15,7
Delta,16,8
Delta,17,7
Delta,18,8
Delta,19,8
Delta,20,7
Delta,21,7
Delta,22,8
Frontier Airlines,08,4
Frontier Airlines,09,4
Frontier Airlines,10,4
Frontier Airlines,11,4
Frontier Airlines,12,4
