Month,Airline,count
04,Delta,1681
05,Delta,17412
06,Delta,28092
07,Delta,35939
08,Delta,49281
09,Delta,40296
10,Delta,22951
11,Delta,4971
04,Frontier Airlines,6
05,Frontier Airlines,226
06,Frontier Airlines,149
08,Frontier Airlines,416
09,Frontier Airlines,736
