Month,Airline,count
10,Frontier Airlines,853
11,Frontier Airlines,254
04,JetBlue Airways,170
05,JetBlue Airways,3127
06,JetBlue Airways,7312
07,JetBlue Airways,8510
08,JetBlue Airways,11595
09,JetBlue Airways,11555
10,JetBlue Airways,7792
11,JetBlue Airways,1617
04,Spirit Airlines,388
05,Spirit Airlines,3626
