Month,Airline,count
06,Alaska Airlines,1
07,Alaska Airlines,14
08,Alaska Airlines,23
09,Alaska Airlines,1
04,American Airlines,1036
05,American Airlines,11800
06,American Airlines,15615
07,American Airlines,19615
08,American Airlines,25318
09,American Airlines,30122
10,American Airlines,20017
11,American Airlines,5010
